일자,횟수,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,총제어량
2021-04-26,45,0,0,0,0,0,0,0,0,0,0,0,0,16,14,1,0,0,0,0,0,0,0,0,0,31.67
2021-04-30,46,0,0,0,0,0,0,0,0,0,0,0,6,19,1,0,0,0,0,0,0,0,0,0,0,25.95
2021-05-01,47,0,0,0,0,0,0,0,0,0,0,3,70,133,108,36,50,30,0,0,0,0,0,0,0,430.09
2021-05-02,48,0,0,0,0,0,0,0,0,32,76,151,159,158,154,154,100,14,0,0,0,0,0,0,0,999.08
2021-05-05,49,0,0,0,0,0,0,0,0,0,8,37,71,81,81,72,14,0,0,0,0,0,0,0,0,364.27
2021-05-08,50,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,8.72
2021-05-12,51,0,0,0,0,0,0,0,0,0,0,0,0,3,15,1,0,0,0,0,0,0,0,0,0,19.53
2021-05-21,52,0,0,0,0,0,0,0,0,0,17,36,6,0,0,0,0,0,0,0,0,0,0,0,0,58.07
2021-05-25,53,0,0,0,0,0,0,0,0,0,0,0,16,68,95,49,0,0,0,0,0,0,0,0,0,228.17
2021-05-27,54,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28,0,0,0,0,0,0,0,0,0,40.01
2021-05-30,55,0,0,0,0,0,0,0,0,0,0,0,0,1,10,3,0,0,0,0,0,0,0,0,0,13.99
2021-10-03,56,0,0,0,0,0,0,0,0,0,0,0,12,14,0,0,0,0,0,0,0,0,0,0,0,26.28
2021-10-17,57,0,0,0,0,0,0,0,2,72,137,149,149,149,149,136,49,2,0,0,0,0,0,0,0,993.33
2021-10-19,58,0,0,0,0,0,0,0,0,0,0,29,69,77,33,13,0,0,0,0,0,0,0,0,0,220.62
2021-10-21,59,0,0,0,0,0,0,0,0,0,0,0,0,29,5,0,0,0,0,0,0,0,0,0,0,33.51
2021-10-22,60,0,0,0,0,0,0,0,0,0,0,0,9,61,48,17,0,0,0,0,0,0,0,0,0,136.26
2021-10-23,61,0,0,0,0,0,0,0,0,0,0,0,12,16,16,6,1,0,0,0,0,0,0,0,0,50.6
2021-10-31,62,0,0,0,0,0,0,0,0,0,0,3,9,17,8,0,0,0,0,0,0,0,0,0,0,37.12
2021-11-03,63,0,0,0,0,0,0,0,0,0,0,0,13,49,10,0,0,0,0,0,0,0,0,0,0,71.97
2021-12-03,64,0,0,0,0,0,0,0,0,0,0,0,7,36,28,1,0,0,0,0,0,0,0,0,0,72.05
